sat_frames_used,sat_brightness_mean,sat_brightness_std,sat_contrast,sat_clear_pct,sat_thin_cloud_pct,sat_thick_cloud_pct,sat_entropy,sat_north_cloud_pct,sat_south_cloud_pct,sat_west_cloud_pct,sat_east_cloud_pct,sat_cloud_trend_pct,sat_flow_divergence,sat_flow_vorticity,sat_flow_kinetic_energy,clip,captured_at,target_time,day,horizon_min,kt_now,solar_elevation_deg,clearsky_mw,actual_mw,target_kt
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 09:45:00+05:30,2026-07-14,15,0.8656975245163937,50.855640997844645,2.5359643840124773,2.424343333333333,0.9559847719538812
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 10:00:00+05:30,2026-07-14,30,0.8656975245163937,54.25549550080292,2.7053284002859717,2.1013086666666663,0.7767296075569028
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 10:15:00+05:30,2026-07-14,45,0.8656975245163937,57.66005251331036,2.8625416176158067,2.9327433333333333,1.0245242602886582
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 10:30:00+05:30,2026-07-14,60,0.8656975245163937,61.06771841175715,3.0065834968426084,2.771086000000001,0.9216727235116146
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 10:45:00+05:30,2026-07-14,75,0.8656975245163937,64.47653284044397,3.136553812074523,3.1038213333333333,0.98956419028579
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 11:00:00+05:30,2026-07-14,90,0.8656975245163937,67.88384066653248,3.2516649956615606,3.205690666666667,0.9858612959649183
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 11:15:00+05:30,2026-07-14,105,0.8656975245163937,71.28561471558619,3.3512367236569074,2.9815513333333334,0.8896868765748756
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 11:30:00+05:30,2026-07-14,120,0.8656975245163937,74.67489620730105,3.4346921558017076,2.794314,0.8135558801914712
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 11:45:00+05:30,2026-07-14,135,0.8656975245163937,78.03764130989678,3.5015553911163644,3.246104666666667,0.9270464990792978
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 12:00:00+05:30,2026-07-14,150,0.8656975245163937,81.33916812784705,3.55144974810441,3.452662666666666,0.9721840126020447
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 12:15:00+05:30,2026-07-14,165,0.8656975245163937,84.4644808186736,3.584096825918012,2.747190666666667,0.766494545236795
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 12:30:00+05:30,2026-07-14,180,0.8656975245163937,86.83381554984793,3.599317146238126,2.614284,0.7263277710141085
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 12:45:00+05:30,2026-07-14,195,0.8656975245163937,86.37052836277965,3.5970327848896035,2.455029333333334,0.6825151396023991
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 13:00:00+05:30,2026-07-14,210,0.8656975245163937,83.66867522883821,3.577253914571779,2.915417333333333,0.8149875303672225
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 13:15:00+05:30,2026-07-14,225,0.8656975245163937,80.47397316464946,3.5400835425132438,2.6411,0.7460558397232003
24,94.53,1.34,17.26,98.03,0.62,1.36,3.296,1.21,2.77,1.98,2.01,0.04,8e-06,0.00244,0.000589,20260715T054125Z_733985759da8_SIRMOUR_satellite_2026-07-14_09-31-55_clean.mp4,2026-07-14 09:30:00+05:30,2026-07-14 13:30:00+05:30,2026-07-14,240,0.8656975245163937,77.1501683251361,3.4857261108606883,2.4857326666666673,0.7131176080994198
